GATA2_lev,PGR_lev,SOX17_lev 2,PGR_act,GATA2_act,P4_act
-0.479,-0.026,-1.641,-1.3941753,0.146480857,0.174736268
-0.455,-0.375,-1.391,-2.102304042,-1.480513235,-1.228222433
-0.449,0.102,-2,-1.841009149,0.76266217,2.559168558
-0.439,0.598,-2.297,-1.92046105,-3.158684882,0.091242316
-0.429,-0.426,-1.018,-0.503321865,0.22478577,0.488223933
-0.398,0.109,-1.121,-1.778567605,0.213646598,0.677729755
-0.374,-0.619,-1.151,-0.641034362,-0.350237012,0.217120425
-0.371,0.024,-1.084,-1.581539181,-2.970876993,-0.514664331
-0.349,-0.109,-1.294,-1.594740528,-2.109515545,-1.874463183
-0.339,-0.267,-1.222,-1.332777776,1.370075049,2.421648958
-0.337,-0.073,-1.263,-1.718143253,-3.809847104,-3.738282153
-0.306,0.081,-1.532,-0.696524565,0.742161638,1.605425595
-0.306,0.054,-1.238,-1.981976722,2.027725336,2.825134325
-0.291,-0.134,-0.919,-1.678902219,-5.13871065,-3.839778131
-0.275,-0.53,-0.914,-0.670970893,-1.23055672,-0.946343267
-0.275,-0.573,-0.799,-0.31470379,-1.340094417,-0.192028694
-0.27,-0.413,-0.885,-0.435819773,-0.739643948,-1.918821965
-0.233,-0.474,-0.796,-1.518105691,-1.045700731,-1.221178355
-0.226,-0.228,-1.329,-1.420202213,-3.849917616,-2.851070783
-0.225,-0.342,-0.852,-1.265412739,-0.626267063,-1.496546694
-0.223,-0.371,-1.241,-1.29921934,-0.436879089,-0.230393867
-0.222,-0.3,-0.572,-2.144865451,-6.8045305,-5.691765723
-0.218,-0.116,-0.155,-1.306369969,-4.268368109,-6.165603074
-0.216,-0.234,-0.559,-2.124916183,-7.245953746,-9.518126305
-0.213,-0.301,-0.411,0.174433188,-9.20733306,-9.840577729
-0.203,-0.18,-0.57,0.310021949,-3.246657547,-2.245020928
-0.201,-0.246,-0.202,-0.661199129,-0.102546644,-0.815317066
-0.195,-0.315,-0.443,1.226092868,1.688300921,2.796013738
-0.189,-0.386,-1.183,-0.296741361,1.080032488,2.994396422
-0.178,-0.451,-0.847,-0.091216523,-0.780632422,0.840517408
-0.176,1.621,0.309,-2.142012806,3.349920736,0.282992744
-0.159,0.047,-0.708,-1.664932312,-1.903749767,-3.018832218
-0.158,-0.068,-0.406,-1.379331374,-2.842644059,-6.413916435
-0.152,-0.272,-0.676,-0.246166955,1.629569721,0.765628125
-0.136,-0.349,-0.271,-2.006964125,-1.167157112,-0.088731459
-0.128,-0.077,-0.881,-2.276867077,-0.494834759,-0.38843354
-0.128,-0.067,-0.658,-1.251275688,-3.947713224,-6.512081308
-0.126,-0.107,-0.65,-0.037758683,1.162232139,-0.051499717
-0.121,-0.301,-0.304,-0.169272249,-12.96249988,-13.10825229
-0.095,-0.047,-0.193,-1.937023869,-6.913745099,-6.703472394
-0.089,0.014,-0.195,-0.427478806,-1.992280589,-3.156094105
-0.084,-0.345,-0.511,-0.164991344,-4.538977739,-3.87594343
-0.079,-0.331,-0.722,-1.519237399,-3.165401153,-3.054412346
-0.079,-0.115,0.115,0.174347618,-3.576261159,-4.605091733
-0.062,-0.064,-0.974,-1.220924337,0.046192835,2.409915942
-0.052,-0.07,-0.261,-1.360056147,-4.059002337,-7.121330972
-0.049,0.093,0.588,1.354519292,1.741246655,1.114481104
-0.042,0.571,0.478,1.266360952,3.258246177,1.962371804
-0.041,-0.089,-0.595,-1.629160424,-3.648993204,-2.148272581
-0.038,0.137,0.123,1.348797105,-2.223643469,-5.918687433
-0.032,-0.022,0.088,0.469592823,3.142891621,6.455962062
-0.031,-0.217,0.518,0.565578886,-1.608732324,-2.018451591
-0.02,2.423,0.59,-3.165862496,1.052407631,-1.718904834
-0.018,0.172,0.331,1.15546811,-4.044787681,-6.611689874
-0.016,-0.284,-0.333,0.098671968,-5.840192512,-8.987312722
-0.011,-0.451,-0.137,0.002045815,-3.158769473,-0.087805969
-0.006,-0.15,-0.148,-2.337043839,-9.022172757,-4.831804945
0,-0.163,0.702,1.539716755,3.557181709,4.142526233
0.014,0.226,-0.028,0.605340674,0.44604846,0.794014149
0.02,-0.163,0.421,1.396475843,-2.080139672,-0.959076017
0.026,-0.296,-0.605,-0.032936655,-2.737365372,-2.924419527
0.05,0.306,0.651,1.493616947,3.737629918,3.43041077
